,score
0x9d11b1e1445b017902e561ceb201f009b3d53a42,79.54
0x978aad63fe35f7a72573c411c3dff53608aaeac9,77.43
0x3a9f7c8ca36c42d7035e87c3304ee5cbd353a532,74.27
0xc4abbb0099c3db6e8bebd3693ed66f7fe020f405,72.15
0x02ab88ddc83fd680395e020b281cd73d941c1df4,72.07
0x3c673dd35bfea5267c4f5598a8d441fb13f8475a,71.91
0x57bf61b835a8a49fe51aa4614f774d9f01bdda73,69.18
0x07326cbe4792e8e3c1f61c66fefee8253eb2db0c,69.16
0x8d093c8c70b5b5ba375d2d301c52d5b9d5ec79e3,69.06
0xce9114fa0e578fc3a8ff3cee9809fc713b2533ac,66.88
0x5e7e3a09995544841bcfd53cfc8a45f33281d2e9,66.73
0xc9b712dfb0fc1a328cbab69dbde92c687c358585,65.19
0xa6308eab4fc51b4d1c1213ef0628ada3c04ff47f,63.57
0x44cb1e1e52f9ac8fc49023c10ab884d2d01a3287,62.59
0xabeab690bd56d307f4bb3b59c2f209c353ee057d,62.49
0x3f4b0089eec7d3e9cc51c9333db927b0f5416e30,62.35
0x6526f255f7f0ee69074e1c1a4c3457f6c2262db7,60.94
0xbabe31056c0fe1b704d811b2405f6e9f5ae5e59d,60.21
0x233f1d0c0abb1eca410b6e1e7d2560cfd32b07b2,60.04
0x6c76d2e8dc43b63d9952594514ed67eeec34218a,60.03
0x3e3742b6b7c0add19eb155c72eacbb6bfc8958dc,59.47
0x331251c7e76d26cb33acc063240ce8ee03ce6ec2,58.71
0xb45de55de3d88b1dc8d9895711c96a0d27c4bb6d,58.24
0xdfb00d9a518d82c9141506bbc6fb1fe5e727f55c,58.0
0x56f999024e23e626a95988ce77d4c7742561ca4b,57.58
0x4654f56a64301b9b582f843f97332d96ead11ff8,57.24
0x3b1978d47c10425ccd26ceba02736b7c6d3424db,57.23
0x23cc917f53ed08c028a9b60067d4de1d7db77f5a,57.02
0x992c0738268431baa068aea38a65627f56b9f4b8,56.39
0xd9418d5bd82754420f92be3583ecfd3e984045ad,56.29
0x21edc17321fee0772bb5a9048f5ceb68769261d9,56.14
0x0e0ec712b3912b5601216455a158cf18152cb62a,56.13
0x6168bb05ccb4aaded0169602bbb6e3cae12902c5,55.93
0x94fa8efdd58e1721ad8bf5d4001060e0e1c4d58e,55.63
0x84f10948e7e8c26dfaff67662d2168147c3d719c,55.6
0x90a286841a7e928509c4016186ee4ced3e2ec079,55.19
0xc630511adc178d3e45004321c5f545eab511619e,55.19
0x30781d7d755845fa50bfdb63ba7b9426a760f3b1,55.18
0x67d3ccbd1d81e7b1427b70d94454e0039271d237,55.04
0xa6e78caa11ad160c6287a071949bb899a009dafa,54.86
0x2ea64c6de91ce1cf3d3761930ac775476cdec742,54.83
0x46a0b4fa58141aba23185e79f7047a7dfd0ff100,54.56
0xa17f75c6d52951699350f308d1220e2dca7b4cda,54.29
0x862efbff8e2a634dbda85b461f4d1c41a557c46b,54.16
0x380e73c229a204c8708a9e95c6b500b59d701917,54.12
0xad54d739ef647b3b29bb5043a16317bdc1ddc470,54.11
0x0be0ecc301a1c0175f07a66243cff628c24db852,54.06
0x9cfd5052dc827c11a6b3ab2bb5091773765ea2c8,53.98
0x93ff0ead0d16e72bc2943b094119710f77841e4f,53.32
0x1d5e65a087ebc3d03a294412e46ce5d6882969f4,53.29
0xc360c4c8fd8c2db40725ca19f7fb5b484143ade1,53.27
0x4e6e308d7736450f110e89f1b1feee963ebef1b1,53.13
0x14559df3fbe66cab6f893d8dd53f7bfe68de9c65,53.02
0xc766ca67ed7216bf6f67e449f9789daddcc0e9ee,53.01
0xc33d98e88682c883fe32b8f6620660692092d39f,52.97
0xed60d8590019e5e145ea81455c01f3e817fe54eb,52.94
0x4f5c0754c5f90e722d78964644bd29687b87c584,52.93
0x39bde2f9254cfef7d0487a27e107ef6c1685e44c,52.88
0xf157eba689047d5d6b0ac629bf46a62a59ad501f,52.85
0xf3ae3bbdeb2fb7f9c32fbb1f4fbdaf1150a1c5ce,52.74
0xa24f2e6dcbd2da9a220958401dab74b365bd34e1,52.74
0xb435871b0959561226b4d903b1abf79528177e81,52.73
